Team,Penalty,NDate,Opponent,Player,Position,Week,Year,PenaltyIndex,HTeam,VTeam,key,Date,Exp,HPen,HPenYd,LastName,RefPosition,VPen,VPenYd
MIA,Roughing the Passer,11/13/2011,WAS,P.Soliai,DT,10.0,2011.0,MIA-2011-40,WAS,MIA,11-13-2011-WAS,,,,,,,,
MIA,Offensive Holding,11/13/2011,WAS,R.Incognito,C,10.0,2011.0,MIA-2011-41,WAS,MIA,11-13-2011-WAS,,,,,,,,
MIA,Encroachment,11/13/2011,WAS,R.Starks,DT,10.0,2011.0,MIA-2011-42,WAS,MIA,11-13-2011-WAS,,,,,,,,
MIA,False Start,11/13/2011,WAS,B.Hartline,WR,10.0,2011.0,MIA-2011-43,WAS,MIA,11-13-2011-WAS,,,,,,,,
MIA,Roughing the Passer,11/13/2011,WAS,I.Olshansky,DT,10.0,2011.0,MIA-2011-44,WAS,MIA,11-13-2011-WAS,,,,,,,,
MIA,Roughing the Passer,11/13/2011,WAS,J.Odrick,DT,10.0,2011.0,MIA-2011-45,WAS,MIA,11-13-2011-WAS,,,,,,,,
MIA,Defensive Offside,11/13/2011,WAS,J.Odrick,DT,10.0,2011.0,MIA-2011-46,WAS,MIA,11-13-2011-WAS,,,,,,,,
MIA,Offensive Holding,11/20/2011,BUF,J.Mastrud,TE,11.0,2011.0,MIA-2011-47,BUF,MIA,11-20-2011-BUF,,,,,,,,
MIA,Offensive Holding,11/20/2011,BUF,J.Mastrud,TE,11.0,2011.0,MIA-2011-48,BUF,MIA,11-20-2011-BUF,,,,,,,,
MIA,Defensive Pass Interference,11/20/2011,BUF,V.Davis,CB,11.0,2011.0,MIA-2011-49,BUF,MIA,11-20-2011-BUF,,,,,,,,
MIA,Personal Foul,11/20/2011,BUF,T.Culver,DB,11.0,2011.0,MIA-2011-50,BUF,MIA,11-20-2011-BUF,,,,,,,,
MIA,Defensive Pass Interference,11/24/2011,DAL,S.Smith,CB,12.0,2011.0,MIA-2011-51,DAL,MIA,11-24-2011-DAL,2011-11-24,268.0,11.0,69.0,Morelli,Referee,6.0,55.0
MIA,False Start,11/24/2011,DAL,J.Long,T,12.0,2011.0,MIA-2011-52,DAL,MIA,11-24-2011-DAL,2011-11-24,268.0,11.0,69.0,Morelli,Referee,6.0,55.0
MIA,False Start,11/24/2011,DAL,J.Long,T,12.0,2011.0,MIA-2011-53,DAL,MIA,11-24-2011-DAL,2011-11-24,268.0,11.0,69.0,Morelli,Referee,6.0,55.0
MIA,Offensive Holding,11/24/2011,DAL,J.Long,T,12.0,2011.0,MIA-2011-54,DAL,MIA,11-24-2011-DAL,2011-11-24,268.0,11.0,69.0,Morelli,Referee,6.0,55.0
MIA,False Start,11/24/2011,DAL,M.Colombo,T,12.0,2011.0,MIA-2011-55,DAL,MIA,11-24-2011-DAL,2011-11-24,268.0,11.0,69.0,Morelli,Referee,6.0,55.0
MIA,False Start,11/24/2011,DAL,J.Long,T,12.0,2011.0,MIA-2011-56,DAL,MIA,11-24-2011-DAL,2011-11-24,268.0,11.0,69.0,Morelli,Referee,6.0,55.0
MIA,False Start,12/04/2011,OAK,A.Fasano,TE,13.0,2011.0,MIA-2011-57,OAK,MIA,12-04-2011-OAK,,,,,,,,
MIA,Offensive Holding,12/04/2011,OAK,R.Incognito,C,13.0,2011.0,MIA-2011-58,OAK,MIA,12-04-2011-OAK,,,,,,,,
MIA,Illegal Contact,12/04/2011,OAK,K.Burnett,LB,13.0,2011.0,MIA-2011-59,OAK,MIA,12-04-2011-OAK,,,,,,,,
MIA,Personal Foul,12/04/2011,OAK,R.Incognito,C,13.0,2011.0,MIA-2011-60,OAK,MIA,12-04-2011-OAK,,,,,,,,
MIA,Offensive Holding,12/04/2011,OAK,R.Jones,SS,13.0,2011.0,MIA-2011-61,OAK,MIA,12-04-2011-OAK,,,,,,,,
MIA,Roughing the Passer,12/04/2011,OAK,C.Wake,DE,13.0,2011.0,MIA-2011-62,OAK,MIA,12-04-2011-OAK,,,,,,,,
MIA,Offensive Holding,12/04/2011,OAK,M.Pouncey,C,13.0,2011.0,MIA-2011-63,OAK,MIA,12-04-2011-OAK,,,,,,,,
