PenaltyIndex,team,penalty,game,opponent,player,position,week
CAR-2015-118,CAR,Neutral Zone Infraction,01/24/2016,Arizona,K.Short,DT,20-2015
CAR-2015-119,CAR,Face Mask (15 Yards),01/24/2016,Arizona,M.Addison,DE,20-2015
CAR-2015-120,CAR,Defensive Holding,01/24/2016,Arizona,C.Finnegan,CB,20-2015
CAR-2015-121,CAR,False Start,01/24/2016,Arizona,M.Oher,T,20-2015
CAR-2015-122,CAR,Defensive Holding,02/07/2016,Denver,J.Norman,CB,21-2015
CAR-2015-123,CAR,Illegal Block Above the Waist,02/07/2016,Denver,T.Williams,DB,21-2015
CAR-2015-124,CAR,False Start,02/07/2016,Denver,E.Dickson,TE,21-2015
CAR-2015-125,CAR,False Start,02/07/2016,Denver,M.Oher,T,21-2015
CAR-2015-126,CAR,Unnecessary Roughness,02/07/2016,Denver,T.Turner,G,21-2015
CAR-2015-127,CAR,Neutral Zone Infraction,02/07/2016,Denver,C.Johnson,DE,21-2015
CAR-2015-128,CAR,Illegal Blindside Block,02/07/2016,Denver,T.Boston,FS,21-2015
CAR-2015-129,CAR,Delay of Game,02/07/2016,Denver,C.Newton,QB,21-2015
CAR-2015-130,CAR,Unsportsmanlike Conduct,02/07/2016,Denver,T.Boston,FS,21-2015
CAR-2015-131,CAR,False Start,02/07/2016,Denver,M.Oher,T,21-2015
CAR-2015-132,CAR,False Start,02/07/2016,Denver,M.Remmers,T,21-2015
CAR-2015-133,CAR,Defensive Holding,02/07/2016,Denver,J.Norman,CB,21-2015
CAR-2015-134,CAR,Unnecessary Roughness,02/07/2016,Denver,J.Webb,QB,21-2015
