Team,Penalty,NDate,Opponent,Player,Position,Week,Year,PenaltyIndex
NYJ,Defensive Holding,09/25/2011,OAK,C.Pace,OLB,3,2011,NYJ-2011-13
NYJ,Offensive Holding,10/02/2011,BAL,N.Bellore,LB,4,2011,NYJ-2011-14
NYJ,Defensive Holding,10/02/2011,BAL,A.Cromartie,DB,4,2011,NYJ-2011-15
NYJ,Face Mask (15 Yards),10/02/2011,BAL,P.Burress,WR,4,2011,NYJ-2011-16
NYJ,Offensive Holding,10/02/2011,BAL,J.Mauga,ILB,4,2011,NYJ-2011-17
NYJ,False Start,10/02/2011,BAL,V.Ducasse,T,4,2011,NYJ-2011-18
NYJ,Offensive Holding,10/02/2011,BAL,M.Slauson,G,4,2011,NYJ-2011-19
NYJ,False Start,10/02/2011,BAL,D.Ferguson,T,4,2011,NYJ-2011-20
NYJ,False Start,10/02/2011,BAL,W.Hunter,T,4,2011,NYJ-2011-21
NYJ,Encroachment,10/02/2011,BAL,G.McIntyre,OLB,4,2011,NYJ-2011-22
NYJ,False Start,10/09/2011,NE,M.Mulligan,TE,5,2011,NYJ-2011-23
NYJ,Defensive Pass Interference,10/09/2011,NE,D.Strickland,DB,5,2011,NYJ-2011-24
NYJ,Unnecessary Roughness,10/09/2011,NE,N.Bellore,LB,5,2011,NYJ-2011-25
NYJ,Illegal Contact,10/09/2011,NE,K.Wilson,DB,5,2011,NYJ-2011-26
NYJ,Illegal Contact,10/09/2011,NE,D.Revis,DB,5,2011,NYJ-2011-27
NYJ,Defensive Pass Interference,10/09/2011,NE,B.Pool,SS,5,2011,NYJ-2011-28
NYJ,Offensive Holding,10/09/2011,NE,P.Turner,WR,5,2011,NYJ-2011-29
NYJ,False Start,10/17/2011,MIA,W.Hunter,T,6,2011,NYJ-2011-30
NYJ,Unnecessary Roughness,10/17/2011,MIA,J.Leonhard,FS,6,2011,NYJ-2011-31
NYJ,Delay of Game,10/17/2011,MIA,M.Sanchez,QB,6,2011,NYJ-2011-32
NYJ,Offensive Holding,10/17/2011,MIA,M.Cole,DB,6,2011,NYJ-2011-33
NYJ,Offensive Holding,10/17/2011,MIA,J.Conner,RB,6,2011,NYJ-2011-34
NYJ,Offensive Holding,10/17/2011,MIA,M.Mulligan,TE,6,2011,NYJ-2011-35
NYJ,False Start,10/23/2011,SD,B.Moore,G,7,2011,NYJ-2011-36
NYJ,Offensive Holding,10/23/2011,SD,N.Mangold,C,7,2011,NYJ-2011-37
NYJ,Defensive Holding,10/23/2011,SD,A.Cromartie,DB,7,2011,NYJ-2011-38
NYJ,Illegal Block Above the Waist,10/23/2011,SD,D.Strickland,DB,7,2011,NYJ-2011-39
NYJ,Offensive Holding,10/23/2011,SD,E.Lankster,DB,7,2011,NYJ-2011-40
NYJ,Ineligible Downfield Pass,10/23/2011,SD,N.Mangold,C,7,2011,NYJ-2011-41
NYJ,Offensive Holding,10/23/2011,SD,N.Mangold,C,7,2011,NYJ-2011-42
NYJ,Offensive Pass Interference,11/06/2011,BUF,S.Holmes,WR,9,2011,NYJ-2011-43
NYJ,False Start,11/06/2011,BUF,M.Mulligan,TE,9,2011,NYJ-2011-44
NYJ,Offensive Holding,11/06/2011,BUF,M.Mulligan,TE,9,2011,NYJ-2011-45
NYJ,Encroachment,11/06/2011,BUF,M.Dixon,DE,9,2011,NYJ-2011-46
NYJ,False Start,11/06/2011,BUF,W.Hunter,T,9,2011,NYJ-2011-47
NYJ,Defensive Holding,11/06/2011,BUF,D.Revis,DB,9,2011,NYJ-2011-48
NYJ,Defensive Holding,11/06/2011,BUF,A.Cromartie,DB,9,2011,NYJ-2011-49
NYJ,Offensive Holding,11/06/2011,BUF,M.Sanchez,QB,9,2011,NYJ-2011-50
NYJ,Offensive Pass Interference,11/13/2011,NE,P.Burress,WR,10,2011,NYJ-2011-51
NYJ,Intentional Grounding,11/13/2011,NE,M.Sanchez,QB,10,2011,NYJ-2011-52
NYJ,Illegal Block Above the Waist,11/13/2011,NE,K.Wilson,DB,10,2011,NYJ-2011-53
NYJ,Defensive Holding,11/13/2011,NE,D.Revis,DB,10,2011,NYJ-2011-54
NYJ,Face Mask (15 Yards),11/13/2011,NE,E.Smith,FS,10,2011,NYJ-2011-55
NYJ,Defensive Offside,11/13/2011,NE,M.Wilkerson,DE,10,2011,NYJ-2011-56
NYJ,Illegal Contact,11/13/2011,NE,J.Leonhard,FS,10,2011,NYJ-2011-57
NYJ,Illegal Use of Hands,11/13/2011,NE,W.Hunter,T,10,2011,NYJ-2011-58
NYJ,Offensive Pass Interference,11/17/2011,DEN,P.Burress,WR,11,2011,NYJ-2011-59
NYJ,False Start,11/17/2011,DEN,W.Hunter,T,11,2011,NYJ-2011-60
NYJ,Offensive Holding,11/27/2011,BUF,N.Bellore,LB,12,2011,NYJ-2011-61
NYJ,Face Mask (15 Yards),11/27/2011,BUF,B.Pool,SS,12,2011,NYJ-2011-62
NYJ,Personal Foul,11/27/2011,BUF,A.Maybin,LB,12,2011,NYJ-2011-63
NYJ,Illegal Block Above the Waist,11/27/2011,BUF,M.Cole,DB,12,2011,NYJ-2011-64
NYJ,Defensive Holding,11/27/2011,BUF,K.Wilson,DB,12,2011,NYJ-2011-65
NYJ,Defensive Offside,11/27/2011,BUF,A.Maybin,LB,12,2011,NYJ-2011-66
NYJ,Illegal Contact,12/04/2011,WAS,D.Strickland,DB,13,2011,NYJ-2011-67
